window_start,window_end,VaR_95,ES_95,Max_Drawdown,Sector_Contributions
2004-09-21,2006-09-21,0.027609866600923762,0.014510558004061803,-0.06517673259153238,"{'Consumer': 0.0006113863110919927, 'Energy': 0.041997751127120744, 'Finance': 0.0009287980270943712, 'IT': 0.004308356800061649, 'Pharma': 0.0004955848934730429}"
2004-10-20,2006-10-23,0.027620601316309355,0.014501599810724537,-0.06514554932519084,"{'Consumer': 0.0006207543975486008, 'Energy': 0.041993441057922666, 'Finance': 0.000935716673090893, 'IT': 0.004317568716789485, 'Pharma': 0.0004802373750289283}"
2004-11-18,2006-11-23,0.027591237847664485,0.014434012395110132,-0.06477976292938752,"{'Consumer': 0.0005782936472926873, 'Energy': 0.04198885389388156, 'Finance': 0.000948791481916422, 'IT': 0.004332803709679812, 'Pharma': 0.00047831178397307166}"
2004-12-17,2006-12-22,0.025201388466321067,0.013908095775220428,-0.06436230215801736,"{'Consumer': 0.00054297004462396, 'Energy': 0.04194620048342431, 'Finance': 0.0008849834172761091, 'IT': 0.004363741800752285, 'Pharma': 0.00048126933303862136}"
2005-01-17,2007-01-24,0.02736884284063516,0.014161098522864301,-0.06424990675065652,"{'Consumer': 0.0005555808331508978, 'Energy': 0.04198971058894122, 'Finance': 0.0009184183167619985, 'IT': 0.004417277289331711, 'Pharma': 0.0005254772971955132}"
2005-02-17,2007-02-27,0.025662066061597235,0.013983570876054794,-0.06964804200968347,"{'Consumer': 0.0005531829322525689, 'Energy': 0.041923345594372774, 'Finance': 0.0008442218939577157, 'IT': 0.004374633012249036, 'Pharma': 0.0005108036827020257}"
2005-03-18,2007-03-29,0.024543907264721512,0.01290999943040195,-0.06582265965713724,"{'Consumer': 0.0005423172165239451, 'Energy': 0.0419391451762015, 'Finance': 0.0008236167341113554, 'IT': 0.004374021770146127, 'Pharma': 0.0005178002986789991}"
2005-04-20,2007-04-30,0.024426886146942692,0.01256486728407622,-0.0663612342218383,"{'Consumer': 0.0005668369971323956, 'Energy': 0.042005903242982506, 'Finance': 0.0008954491015707013, 'IT': 0.00442902432733591, 'Pharma': 0.000569137516516106}"
2005-05-19,2007-05-31,0.024303709041922732,0.012545356888586164,-0.06780800717452508,"{'Consumer': 0.0005732647595818192, 'Energy': 0.04202461933356053, 'Finance': 0.0009398951393285914, 'IT': 0.004399472911525541, 'Pharma': 0.000542716636692947}"
2005-06-17,2007-06-29,0.02445079673447651,0.012540019330742454,-0.06812419395798967,"{'Consumer': 0.0005501812169837055, 'Energy': 0.04201621934343361, 'Finance': 0.0009464293552064155, 'IT': 0.004355361687830801, 'Pharma': 0.0005185563050190674}"
